DATE,PERMIT1
2002-01-01,1285
2002-02-01,1401
2002-03-01,1289
2002-04-01,1285
2002-05-01,1289
2002-06-01,1314
2002-07-01,1307
2002-08-01,1317
2002-09-01,1366
2002-10-01,1382
2002-11-01,1382
2002-12-01,1409
2003-01-01,1416
2003-02-01,1357
2003-03-01,1359
2003-04-01,1391
2003-05-01,1389
2003-06-01,1461
2003-07-01,1478
2003-08-01,1521
2003-09-01,1533
2003-10-01,1566
2003-11-01,1513
2003-12-01,1549
2004-01-01,1539
2004-02-01,1564
2004-03-01,1648
2004-04-01,1617
2004-05-01,1675
2004-06-01,1615
2004-07-01,1620
2004-08-01,1609
2004-09-01,1586
2004-10-01,1593
2004-11-01,1572
2004-12-01,1613
2005-01-01,1654
2005-02-01,1630
2005-03-01,1580
2005-04-01,1654
2005-05-01,1644
2005-06-01,1683
2005-07-01,1722
2005-08-01,1716
2005-09-01,1798
2005-10-01,1742
2005-11-01,1730
2005-12-01,1661
2006-01-01,1689
2006-02-01,1643
2006-03-01,1551
2006-04-01,1496
2006-05-01,1450
2006-06-01,1393
2006-07-01,1307
2006-08-01,1282
2006-09-01,1218
2006-10-01,1175
2006-11-01,1163
2006-12-01,1198
2007-01-01,1174
2007-02-01,1136
2007-03-01,1147
2007-04-01,1058
2007-05-01,1042
2007-06-01,995
2007-07-01,978
2007-08-01,916
2007-09-01,855
2007-10-01,821
2007-11-01,795
2007-12-01,742
2008-01-01,708
2008-02-01,664
2008-03-01,642
2008-04-01,661
2008-05-01,633
2008-06-01,605
2008-07-01,571
2008-08-01,543
2008-09-01,529
2008-10-01,469
2008-11-01,420
2008-12-01,364
2009-01-01,337
2009-02-01,377
2009-03-01,361
2009-04-01,391
2009-05-01,431
2009-06-01,458
2009-07-01,489
2009-08-01,491
2009-09-01,477
2009-10-01,472
2009-11-01,483
2009-12-01,508
2010-01-01,504
2010-02-01,510
2010-03-01,536
2010-04-01,476
2010-05-01,435
2010-06-01,425
2010-07-01,411
2010-08-01,402
2010-09-01,404
2010-10-01,408
2010-11-01,418
2010-12-01,447
2011-01-01,420
2011-02-01,379
2011-03-01,399
2011-04-01,403
2011-05-01,411
2011-06-01,413
2011-07-01,416
2011-08-01,428
2011-09-01,425
2011-10-01,439
2011-11-01,449
2011-12-01,458
2012-01-01,462.0
2012-02-01,493
2012-03-01,482.0
2012-04-01,485.0
2012-05-01,494.0
2012-06-01,501.0
2012-07-01,522.0
2012-08-01,517.0
2012-09-01,562.0
2012-10-01,568.0
2012-11-01,568.0
2012-12-01,582.0
2013-01-01,590.0
2013-02-01,612
2013-03-01,610.0
2013-04-01,620.0
2013-05-01,623.0
2013-06-01,628.0
2013-07-01,619.0
2013-08-01,635.0
2013-09-01,625.0
2013-10-01,623.0
2013-11-01,642.0
2013-12-01,602.0
2014-01-01,615.0
2014-02-01,609.0
2014-03-01,623.0
2014-04-01,620.0
2014-05-01,627.0
2014-06-01,649.0
2014-07-01,648.0
2014-08-01,650.0
2014-09-01,662.0
2014-10-01,647.0
2014-11-01,658.0
2014-12-01,670.0
2015-01-01,662.0
2015-02-01,628.0
